feature,coefficient,abs_coefficient
past_no_show_rate,1.071098236388267,1.071098236388267
high_risk_combo,-0.9148084143477723,0.9148084143477723
lead_x_past,0.4043712204209175,0.4043712204209175
is_weekend,0.38391909776727257,0.38391909776727257
lead_days,-0.37723418213418225,0.37723418213418225
sms_received,-0.2706305017971779,0.2706305017971779
hypertension,-0.2038413217310816,0.2038413217310816
young_long_wait,0.19705691826474991,0.19705691826474991
scholarship,0.18071431154198717,0.18071431154198717
alcoholism,0.1729556658235512,0.1729556658235512
lead_days_binned,0.12807325610929424,0.12807325610929424
age_squared,-0.11964833723859425,0.11964833723859425
chronic_count,0.10121722986006006,0.10121722986006006
age,0.08939528729623823,0.08939528729623823
age_50-64,-0.08708620213863164,0.08708620213863164
age_65+,-0.07902936621300277,0.07902936621300277
sms_young_effective,0.07856122519323615,0.07856122519323615
age_18-34,0.07428298037223961,0.07428298037223961
scholarship_young,-0.07330183960272967,0.07330183960272967
age_0-17,0.05183224751103477,0.05183224751103477
appointment_dow,-0.02852619252584969,0.02852619252584969
age_35-49,0.028145324105805343,0.028145324105805343
scholarship_sms_interaction,0.021297862657696093,0.021297862657696093
diabetes,-0.018367446950540017,0.018367446950540017
handicap_squared,0.00941387431456778,0.00941387431456778
handicap,-0.007790507726414099,0.007790507726414099
