feature,importance
past_no_show_rate,0.4753097419773487
lead_x_past,0.25400640982047873
lead_days,0.051083805705627386
age_squared,0.046567623245648684
age,0.04508638460929965
high_risk_combo,0.026595469211591925
lead_days_binned,0.016975477816855183
appointment_dow,0.015915998843756447
sms_received,0.014124300038287565
young_long_wait,0.011767811229005547
chronic_count,0.0058375328400251045
sms_young_effective,0.00418018863684566
hypertension,0.004088558136730103
age_65+,0.004056331620685961
age_50-64,0.0038701583724813637
scholarship,0.003659197370425523
age_18-34,0.0031309145746235725
alcoholism,0.002681655089211565
diabetes,0.002330863683067569
age_35-49,0.0019242094126225644
scholarship_sms_interaction,0.001562728006139889
age_0-17,0.001546615946914795
scholarship_young,0.0013609309678240475
handicap_squared,0.0012319977864574969
handicap,0.0010816068579453707
is_weekend,2.3488200099560862e-05
